,time,close,high,low,open,volume
0,2016-12-31 23:59:00,968.29,968.29,968.29,968.29,0
1,2017-01-01 00:00:00,968.7,968.76,968.49,968.29,12993
2,2017-01-01 00:01:00,968.43,968.7,967.2,968.7,73800
3,2017-01-01 00:02:00,967.21,968.0,967.21,968.43,3500
4,2017-01-01 00:03:00,966.97,967.21,966.74,967.21,15969
5,2017-01-01 00:04:00,966.97,966.97,966.97,966.97,300
6,2017-01-01 00:05:00,967.0,967.0,967.0,966.97,13231
7,2017-01-01 00:06:00,966.89,966.89,966.89,967.0,500
8,2017-01-01 00:07:00,966.89,966.89,966.89,966.89,0
9,2017-01-01 00:08:00,966.89,966.89,966.89,966.89,0
10,2017-01-01 00:09:00,966.89,966.89,966.89,966.89,0
11,2017-01-01 00:10:00,966.89,966.89,966.89,966.89,0
12,2017-01-01 00:11:00,966.05,966.64,966.05,966.89,12900
13,2017-01-01 00:12:00,965.0,965.86,964.99,966.05,103237
14,2017-01-01 00:13:00,965.0,965.0,965.0,965.0,0
15,2017-01-01 00:14:00,964.86,964.86,964.86,965.0,8000
16,2017-01-01 00:15:00,964.86,964.86,964.86,964.86,0
17,2017-01-01 00:16:00,964.99,964.99,964.99,964.86,3000
18,2017-01-01 00:17:00,964.8,964.8,964.8,964.99,1
19,2017-01-01 00:18:00,964.8,964.8,964.8,964.8,0
20,2017-01-01 00:19:00,964.8,964.8,964.8,964.8,0
21,2017-01-01 00:20:00,964.8,964.8,964.8,964.8,0
22,2017-01-01 00:21:00,964.8,964.8,964.8,964.8,0
23,2017-01-01 00:22:00,964.8,964.8,964.8,964.8,0
24,2017-01-01 00:23:00,964.8,964.8,964.8,964.8,0
25,2017-01-01 00:24:00,964.8,964.8,964.8,964.8,0
26,2017-01-01 00:25:00,964.8,964.8,964.8,964.8,0
27,2017-01-01 00:26:00,965.08,965.09,965.08,964.8,5000
28,2017-01-01 00:27:00,964.54,964.78,964.54,965.08,35000
